"subject","trial_num","step2resp","step1resp","step2state","reward"
"EEGTDPRJ04E989C4",115,1,2,3,0
"EEGTDPRJ04E989C4",116,2,1,3,1
"EEGTDPRJ04E989C4",117,2,1,2,1
"EEGTDPRJ04E989C4",118,1,1,2,0
"EEGTDPRJ04E989C4",119,2,2,2,0
"EEGTDPRJ04E989C4",120,2,2,3,1
"EEGTDPRJ04E989C4",121,NA,1,2,NA
"EEGTDPRJ04E989C4",122,1,2,2,0
"EEGTDPRJ04E989C4",123,2,2,3,1
"EEGTDPRJ04E989C4",124,2,1,3,1
"EEGTDPRJ04E989C4",125,1,1,2,0
"EEGTDPRJ04E989C4",126,2,2,3,0
"EEGTDPRJ04E989C4",127,1,1,3,0
"EEGTDPRJ04E989C4",128,2,1,3,1
"EEGTDPRJ04E989C4",129,1,2,2,0
"EEGTDPRJ04E989C4",130,2,2,2,1
"EEGTDPRJ04E989C4",131,1,2,3,1
"EEGTDPRJ04E989C4",132,2,2,3,0
"EEGTDPRJ04E989C4",133,1,1,3,1
"EEGTDPRJ04E989C4",134,1,1,2,1
"EEGTDPRJ04E989C4",135,2,2,2,1
"EEGTDPRJ04E989C4",136,2,2,3,0
"EEGTDPRJ04E989C4",137,1,1,2,0
"EEGTDPRJ04E989C4",138,2,1,2,1
"EEGTDPRJ04E989C4",139,1,2,2,1
"EEGTDPRJ04E989C4",140,2,1,2,1
"EEGTDPRJ04E989C4",141,1,2,3,1
"EEGTDPRJ04E989C4",142,1,2,3,1
"EEGTDPRJ04E989C4",143,2,1,2,0
"EEGTDPRJ04E989C4",144,1,2,3,1
"EEGTDPRJ04E989C4",145,2,1,3,0
"EEGTDPRJ04E989C4",146,1,2,3,0
"EEGTDPRJ04E989C4",147,2,2,3,0
"EEGTDPRJ04E989C4",148,1,2,3,0
"EEGTDPRJ04E989C4",149,2,1,2,1
"EEGTDPRJ04E989C4",150,1,1,3,1
"EEGTDPRJ05C3973A",1,1,1,3,0
"EEGTDPRJ05C3973A",2,2,1,2,1
"EEGTDPRJ05C3973A",3,1,1,3,0
"EEGTDPRJ05C3973A",4,2,2,3,1
"EEGTDPRJ05C3973A",5,NA,NA,NA,NA
"EEGTDPRJ05C3973A",6,2,2,2,1
"EEGTDPRJ05C3973A",7,1,2,2,1
"EEGTDPRJ05C3973A",8,1,1,2,1
"EEGTDPRJ05C3973A",9,2,2,2,1
"EEGTDPRJ05C3973A",10,1,2,3,1
"EEGTDPRJ05C3973A",11,1,1,2,1
"EEGTDPRJ05C3973A",12,2,1,2,0
"EEGTDPRJ05C3973A",13,1,1,2,0
"EEGTDPRJ05C3973A",14,2,2,2,0
"EEGTDPRJ05C3973A",15,2,2,2,1
"EEGTDPRJ05C3973A",16,1,2,2,1
"EEGTDPRJ05C3973A",17,1,1,2,1
"EEGTDPRJ05C3973A",18,2,2,3,0
"EEGTDPRJ05C3973A",19,1,1,3,1
"EEGTDPRJ05C3973A",20,1,1,3,0
"EEGTDPRJ05C3973A",21,1,2,2,1
"EEGTDPRJ05C3973A",22,NA,NA,NA,NA
"EEGTDPRJ05C3973A",23,2,2,3,0
"EEGTDPRJ05C3973A",24,1,1,2,0
"EEGTDPRJ05C3973A",25,2,2,2,1
"EEGTDPRJ05C3973A",26,1,2,3,1
"EEGTDPRJ05C3973A",27,1,2,3,1
"EEGTDPRJ05C3973A",28,2,1,2,1
"EEGTDPRJ05C3973A",29,2,2,2,1
"EEGTDPRJ05C3973A",30,2,2,2,1
"EEGTDPRJ05C3973A",31,1,2,3,1
"EEGTDPRJ05C3973A",32,2,1,2,0
"EEGTDPRJ05C3973A",33,1,1,2,1
"EEGTDPRJ05C3973A",34,1,1,2,1
"EEGTDPRJ05C3973A",35,2,1,3,0
"EEGTDPRJ05C3973A",36,1,1,2,0
"EEGTDPRJ05C3973A",37,1,2,3,0
"EEGTDPRJ05C3973A",38,2,1,2,1
"EEGTDPRJ05C3973A",39,2,1,2,1
"EEGTDPRJ05C3973A",40,2,1,2,1
"EEGTDPRJ05C3973A",41,2,1,3,0
"EEGTDPRJ05C3973A",42,1,1,2,1
"EEGTDPRJ05C3973A",43,1,1,3,0
"EEGTDPRJ05C3973A",44,2,1,3,1
"EEGTDPRJ05C3973A",45,1,1,2,1
"EEGTDPRJ05C3973A",46,2,2,3,0
"EEGTDPRJ05C3973A",47,1,1,2,1
"EEGTDPRJ05C3973A",48,2,1,3,0
"EEGTDPRJ05C3973A",49,1,1,2,1
"EEGTDPRJ05C3973A",50,1,1,2,1
"EEGTDPRJ05C3973A",51,2,1,2,1
"EEGTDPRJ05C3973A",52,2,1,2,1
"EEGTDPRJ05C3973A",53,2,1,2,0
"EEGTDPRJ05C3973A",54,1,1,2,0
"EEGTDPRJ05C3973A",55,2,1,3,1
"EEGTDPRJ05C3973A",56,NA,NA,NA,NA
"EEGTDPRJ05C3973A",57,2,1,2,0
"EEGTDPRJ05C3973A",58,1,1,3,1
"EEGTDPRJ05C3973A",59,1,1,2,1
"EEGTDPRJ05C3973A",60,1,1,2,1
"EEGTDPRJ05C3973A",61,2,1,2,0
"EEGTDPRJ05C3973A",62,1,1,2,0
"EEGTDPRJ05C3973A",63,2,1,2,1
"EEGTDPRJ05C3973A",64,1,1,3,1
"EEGTDPRJ05C3973A",65,2,2,3,0
"EEGTDPRJ05C3973A",66,2,2,3,1
"EEGTDPRJ05C3973A",67,1,2,3,0
"EEGTDPRJ05C3973A",68,1,1,2,0
"EEGTDPRJ05C3973A",69,2,1,2,0
"EEGTDPRJ05C3973A",70,2,2,3,0
"EEGTDPRJ05C3973A",71,1,2,3,1
"EEGTDPRJ05C3973A",72,NA,1,3,NA
"EEGTDPRJ05C3973A",73,1,2,3,1
"EEGTDPRJ05C3973A",74,1,1,2,1
"EEGTDPRJ05C3973A",75,2,1,2,1
"EEGTDPRJ05C3973A",76,2,1,2,1
"EEGTDPRJ05C3973A",77,NA,1,2,NA
"EEGTDPRJ05C3973A",78,2,1,2,1
"EEGTDPRJ05C3973A",79,2,1,2,1
"EEGTDPRJ05C3973A",80,1,1,3,1
"EEGTDPRJ05C3973A",81,2,1,3,1
"EEGTDPRJ05C3973A",82,2,1,3,0
"EEGTDPRJ05C3973A",83,1,1,2,1
"EEGTDPRJ05C3973A",84,2,1,2,0
"EEGTDPRJ05C3973A",85,1,1,3,0
"EEGTDPRJ05C3973A",86,2,2,2,1
"EEGTDPRJ05C3973A",87,2,2,3,0
"EEGTDPRJ05C3973A",88,1,2,3,0
"EEGTDPRJ05C3973A",89,1,1,3,1
"EEGTDPRJ05C3973A",90,2,1,3,1
"EEGTDPRJ05C3973A",91,1,1,2,0
"EEGTDPRJ05C3973A",92,1,1,2,1
"EEGTDPRJ05C3973A",93,2,2,3,1
"EEGTDPRJ05C3973A",94,1,2,3,0
"EEGTDPRJ05C3973A",95,1,1,2,0
"EEGTDPRJ05C3973A",96,2,2,2,0
"EEGTDPRJ05C3973A",97,1,1,3,0
"EEGTDPRJ05C3973A",98,2,2,3,0
"EEGTDPRJ05C3973A",99,2,2,2,0
"EEGTDPRJ05C3973A",100,1,1,2,0
"EEGTDPRJ05C3973A",101,NA,1,2,NA
"EEGTDPRJ05C3973A",102,2,2,3,1
"EEGTDPRJ05C3973A",103,2,1,2,1
"EEGTDPRJ05C3973A",104,2,2,3,0
"EEGTDPRJ05C3973A",105,2,1,2,0
"EEGTDPRJ05C3973A",106,2,2,3,1
"EEGTDPRJ05C3973A",107,1,1,3,1
"EEGTDPRJ05C3973A",108,2,2,3,0
"EEGTDPRJ05C3973A",109,1,2,3,1
"EEGTDPRJ05C3973A",110,2,1,2,1
"EEGTDPRJ05C3973A",111,1,2,2,1
"EEGTDPRJ05C3973A",112,1,2,3,0
"EEGTDPRJ05C3973A",113,2,2,3,1
"EEGTDPRJ05C3973A",114,2,2,2,0
"EEGTDPRJ05C3973A",115,2,2,3,1
"EEGTDPRJ05C3973A",116,2,1,2,1
"EEGTDPRJ05C3973A",117,1,1,2,1
"EEGTDPRJ05C3973A",118,1,1,3,1
"EEGTDPRJ05C3973A",119,2,1,2,1
"EEGTDPRJ05C3973A",120,1,2,3,1
"EEGTDPRJ05C3973A",121,1,1,3,0
"EEGTDPRJ05C3973A",122,1,2,3,0
"EEGTDPRJ05C3973A",123,1,1,2,1
"EEGTDPRJ05C3973A",124,1,2,3,1
"EEGTDPRJ05C3973A",125,2,1,2,1
"EEGTDPRJ05C3973A",126,2,1,3,1
"EEGTDPRJ05C3973A",127,1,1,3,1
"EEGTDPRJ05C3973A",128,1,2,3,0
"EEGTDPRJ05C3973A",129,2,1,2,1
"EEGTDPRJ05C3973A",130,1,1,2,0
"EEGTDPRJ05C3973A",131,1,2,3,1
"EEGTDPRJ05C3973A",132,1,2,3,0
"EEGTDPRJ05C3973A",133,2,2,3,1
"EEGTDPRJ05C3973A",134,2,1,2,0
"EEGTDPRJ05C3973A",135,1,2,2,0
